month,income,rent,food,travel,entertainment,savings,expenses
8,52872,16823,4751,4928,3523,2856,30025
6,54815,15856,2883,4875,3631,3698,27245
11,50869,5473,3264,1969,3164,8387,13870
3,69297,5058,6348,3546,1263,8905,16215
1,37257,7636,7031,2197,2542,9988,19406
3,36682,19251,7339,2686,1020,9206,30296
5,39622,19834,4444,3647,3524,9476,31449
3,50408,19206,5033,4884,1548,4680,30671
1,28837,7614,7848,2532,2196,4133,20190
5,35407,15806,7833,1777,1947,6194,27363
10,49309,12296,3052,2333,2020,4421,19701
7,26382,9999,2493,3117,1205,4805,16814
7,47654,17670,7054,3252,2636,7614,30612
11,38895,14603,4021,3388,1630,5931,23642
9,75748,13276,3747,4103,3226,8025,24352
10,53551,14725,7273,4114,3935,7327,30047
10,41376,8797,7087,1117,3389,2624,20390
12,20370,7674,5302,3936,1439,9126,18351
3,68676,16065,7022,1014,2098,6178,26199
7,20486,11436,4279,2345,1289,3600,19349
1,43762,8120,7305,3041,3604,2000,22070
4,46613,14282,2931,3042,3696,8580,23951
4,67268,16026,3925,1910,1207,6781,23068
5,23196,17416,7254,3674,1271,6345,29615
7,62320,7076,2756,4408,1414,6505,15654
7,73439,18856,3054,2555,1383,8881,25848
11,49401,8190,5930,1689,2284,3409,18093
4,55029,9787,6551,1773,1890,5867,20001
7,30813,11056,6354,2614,2662,7203,22686
11,61916,17420,6526,4452,2041,6585,30439
3,28572,12494,5453,2534,3707,8382,24188
6,67776,14400,4516,3960,3294,4970,26170
12,48225,8577,3964,1119,2319,4587,15979
2,65853,9741,2646,3073,3461,8523,18921
10,69390,11832,6542,4605,2343,2798,25322
9,52275,7581,4830,2736,2577,2942,17724
5,26843,18900,7208,1063,3762,5462,30933
6,21105,8787,2194,1459,2716,9495,15156
12,70538,13707,7533,2749,2884,7599,26873
12,79896,19333,3145,3361,3228,8090,29067
12,63209,19151,4509,3852,2679,3327,30191
12,51639,12103,7235,2613,1943,9449,23894
4,62487,15404,6291,4287,1892,2694,27874
11,38051,16166,4083,4527,1060,5416,25836
10,48708,5932,6740,4033,2232,6230,18937
7,55459,6663,5352,3783,1165,7587,16963
12,76908,13748,7130,3936,2905,8504,27719
9,31864,12914,7849,2563,2323,8712,25649
7,54764,14863,2321,1981,1654,9282,20819
1,21425,14184,7787,4888,1350,2185,28209
1,69146,14820,4287,4784,3310,2477,27201
9,77175,14883,7112,3626,3171,9031,28792
11,26849,9852,5131,4544,2565,6096,22092
9,56015,6104,6745,4430,1931,4897,19210
4,38976,6270,3702,2149,2904,5015,15025
9,54258,16094,4212,1971,2113,8684,24390
3,70376,19828,2830,3908,3186,5815,29752
7,71739,17936,2188,1706,2989,3685,24819
6,76866,14601,7606,2709,2385,2991,27301
8,72216,8646,6052,4158,3907,9591,22763
11,67078,10087,2091,2366,2116,4749,16660
9,76956,14522,5877,2846,1133,6365,24378
5,51113,9723,3911,1394,2227,9927,17255
1,69984,19960,4336,1483,3866,4945,29645
3,35401,19878,3580,1665,2871,8562,27994
10,32884,7054,3408,1455,2017,5398,13934
12,38824,19237,2174,4547,3504,2194,29462
8,57563,14145,7792,1209,2881,4302,26027
11,54414,11658,2473,1524,1437,2078,17092
6,36142,6842,5432,1675,1679,5946,15628
8,67074,7802,2269,2001,3694,3121,15766
9,69592,12735,4044,4838,3669,5221,25286
4,25956,19408,5195,1895,2247,2785,28745
1,33928,13201,2693,2003,2191,4861,20088
1,29721,18884,6471,2599,2130,2446,30084
10,31157,15801,3415,3354,2403,6218,24973
4,55135,13313,4083,4147,3071,7729,24614
12,26696,17974,3235,4093,2534,4723,27836
7,47862,11105,5967,1059,3856,3581,21987
2,25190,7560,3971,1385,2330,2358,15246
3,24663,8037,2133,3103,1934,4286,15207
1,59830,13632,4912,3215,2381,3765,24140
5,24331,7749,7019,2435,1369,2804,18572
1,78648,5590,6785,3764,1996,7875,18135
8,72186,6368,7797,3912,3218,7649,21295
1,64648,15181,7968,2794,2604,4730,28547
11,48549,6361,2840,4262,3269,7991,16732
1,36246,13128,7083,3529,3490,6764,27230
2,45761,8773,3461,2942,2176,8347,17352
2,23262,18495,6934,2590,3909,9825,31928
12,66088,19402,5472,4487,1375,6062,30736
6,71259,7064,7547,3387,3328,2142,21326
7,27036,18694,6843,1795,3760,4234,31092
5,79184,7415,4875,1891,2943,5559,17124
1,73472,7951,4509,3823,1957,4169,18240
1,42322,18627,2965,2282,1810,5421,25684
3,39131,10616,4038,4421,1826,3123,20901
2,24677,12975,6240,1600,2845,2283,23660
5,27972,15960,3850,3484,3533,9092,26827
12,35329,16608,2734,2245,2533,8670,24120
10,57032,12101,4453,2436,1334,2383,20324
6,55901,14768,5016,2373,3789,3578,25946
7,64380,10003,5002,4553,1409,5872,20967
4,70617,19808,4315,4672,1053,4945,29848
7,40493,13306,6003,2082,1700,6282,23091
11,38595,11243,4313,1151,2757,9175,19464
8,41923,11581,6623,1933,2098,2623,22235
11,66926,14560,5163,3587,3396,2544,26706
1,29735,19684,5319,3272,1974,9586,30249
6,54457,13330,5461,2341,1392,2913,22524
8,62531,9923,7507,3610,1553,4137,22593
5,27727,11467,7214,4846,3894,4543,27421
4,27764,9941,2429,4350,3128,5732,19848
2,73693,16565,4988,1557,1825,7055,24935
6,72693,11437,5796,2497,1743,5995,21473
6,65771,11076,7156,2869,2470,3747,23571
11,47599,10648,7512,1617,3224,4163,23001
1,20818,13001,3596,2819,3558,8828,22974
9,67207,6315,5362,1023,1138,3043,13838
12,67845,5073,7993,2542,3520,4179,19128
11,57289,17038,4350,3415,2845,3315,27648
6,53892,13675,3779,3019,1541,8133,22014
3,25660,17303,5988,1998,3241,3377,28530
4,49521,6549,4448,3382,2856,5308,17235
12,58409,6359,4870,2456,3533,7708,17218
11,70281,6896,4910,1002,2337,2222,15145
4,54470,11659,6613,2007,2720,6531,22999
3,38385,10246,7496,2281,3852,7757,23875
10,43296,11967,6260,1262,3294,9206,22783
3,73030,11661,4072,1120,3677,6422,20530
3,43616,17416,5807,2743,3485,7328,29451
4,46382,5510,7242,1020,1072,4153,14844
7,31139,13614,6224,1904,3801,4699,25543
4,75483,7432,4864,1139,3878,5320,17313
9,52060,6906,7753,4548,3141,2566,22348
1,42419,17519,5618,2815,1434,4042,27386
8,47785,14150,3017,2312,2806,2629,22285
7,35702,14016,6690,1205,3045,4735,24956
2,79496,5064,3332,1042,1456,7473,10894
8,49217,9928,4483,3897,3276,4517,21584
1,59291,9710,2181,4189,3077,2724,19157
11,32397,16540,7707,2028,2648,6360,28923
12,60879,11124,6839,3254,1334,9819,22551
9,77888,12837,3838,3682,1659,6048,22016
9,55169,5800,4451,2862,1568,7583,14681
2,46940,11063,3952,1344,1176,8980,17535
7,62249,13469,6700,2165,3871,4898,26205
10,48341,11109,7885,3419,3615,3464,26028
3,30067,14909,7709,4303,3456,3307,30377
7,66144,15605,2262,4235,1776,8928,23878
12,33824,11659,2660,3594,2260,8677,20173
10,33444,6238,3315,2387,2301,3954,14241
9,65647,11582,4919,1983,1076,8512,19560
4,78126,9523,6917,1334,1932,6794,19706
12,68880,19731,4194,3058,1635,7838,28618
1,53307,10620,4072,4479,3587,9826,22758
2,30974,6486,7442,3122,2677,7614,19727
1,66614,9681,4019,2323,2190,9089,18213
12,58383,16490,4740,3994,2412,2153,27636
5,49290,9470,2815,3960,1011,8763,17256
5,36016,10619,6777,4452,3216,8459,25064
11,52112,16187,5418,3757,1830,7419,27192
7,48513,13284,7289,3900,2449,5511,26922
9,22956,16723,6097,1775,1448,6066,26043
9,28077,18888,5717,4918,3496,2810,33019
3,56490,19656,6734,1885,2789,2150,31064
3,64827,12177,5629,3035,1426,9573,22267
3,79177,18201,4753,1735,1915,4222,26604
4,57855,10441,5367,3681,1630,3078,21119
8,63106,6840,6685,4657,1225,2778,19407
6,75612,16719,2201,2051,1446,7430,22417
8,54938,10397,3004,2486,2910,6249,18797
1,56159,6621,3312,1395,2499,5968,13827
8,59710,6561,4025,1682,3250,9667,15518
4,38000,10849,5133,3001,1674,8115,20657
11,33806,6416,5573,4447,2320,6596,18756
1,67560,16156,7899,3468,3681,9357,31204
8,32809,9190,6221,1363,3063,4553,19837
4,34855,19067,5671,4966,2401,6244,32105
6,61876,10054,6941,4287,3665,6103,24947
8,49388,6130,3796,2854,2043,7779,14823
4,26458,14605,6274,4172,3487,7804,28538
3,55524,19071,3604,2781,2267,6688,27723
9,26853,8597,3902,1092,2267,8734,15858
3,60477,16936,5999,2598,1391,6564,26924
9,52222,7118,6588,1265,1723,8464,16694
2,38320,5663,5504,3253,3783,8715,18203
2,48618,18256,4619,4151,2888,6546,29914
2,72243,7634,4349,3084,2285,5678,17352
6,65615,7774,7059,2034,3267,7943,20134
3,37352,19703,7288,4698,2031,6223,33720
9,27297,11194,6364,2113,3493,5705,23164
4,47940,8969,7483,1743,1013,5358,19208
1,69024,18454,6719,3066,3434,2852,31673
4,23203,8490,4672,4635,1641,6182,19438
1,59267,14763,2818,1373,2045,5965,20999
5,57941,6523,4677,2809,1224,7200,15233
4,37273,13053,2547,1093,3282,6629,19975
8,45368,5987,6432,1031,3758,5323,17208
8,31650,16430,2358,4734,2157,8333,25679
7,50984,12915,5361,1139,2543,6919,21958
3,61941,11403,7515,2593,1791,9765,23302
1,27382,10321,3924,4020,2562,7603,20827
1,72683,8845,6911,4092,1436,6474,21284
12,20801,18496,6455,4220,2074,2455,31245
11,61002,11301,6442,4292,2947,7998,24982
3,66665,16885,7243,3780,3039,9175,30947
6,67965,5098,6647,3801,1580,6413,17126
7,39733,7288,4701,2242,3002,8477,17233
6,77157,14706,7983,2564,1686,2229,26939
6,29969,9297,3930,2582,1364,8807,17173
6,55969,13825,2421,2931,1268,6603,20445
3,36733,12796,2335,1057,2716,6885,18904
6,52449,12263,3526,4496,2394,7646,22679
8,46143,18033,2056,2298,2575,7594,24962
11,45705,17777,7781,3187,1077,7019,29822
11,48363,13770,5950,2046,1188,5477,22954
2,50720,8959,5147,3948,2630,5358,20684
5,29972,12385,5537,1377,2325,9112,21624
1,53351,19862,2721,1921,3718,2759,28222
12,65487,13464,6077,1372,3405,3790,24318
1,56145,10338,2385,4134,1958,6541,18815
5,42412,9881,7045,2587,3383,3366,22896
12,44078,8954,4817,1777,1902,2324,17450
3,42580,8927,7596,2365,1340,2876,20228
4,76235,13644,7815,1166,3881,2166,26506
3,34855,14367,4887,4222,3614,5664,27090
1,56169,19682,4719,3570,3119,9463,31090
1,66404,9911,2259,3011,2065,2580,17246
12,39569,5413,6488,4678,1410,9350,17989
12,79538,6550,2599,1583,1897,6934,12629
5,74437,9526,5255,3548,3885,7695,22214
6,68506,19714,3039,3943,1643,3799,28339
3,45738,12141,6048,1998,1020,7958,21207
12,26772,18182,2755,1559,1677,3109,24173
9,44874,11571,5577,4419,2099,5627,23666
5,39731,6946,5157,4343,3650,4853,20096
8,30131,10203,4758,4501,1087,3172,20549
1,20788,5191,2476,2011,2617,2771,12295
5,74097,5040,7283,4678,3064,2927,20065
3,36184,19175,3599,1232,3990,9990,27996
12,50897,15051,4359,1559,3871,4908,24840
1,22889,10892,3261,2231,3430,7051,19814
4,29569,14524,7937,4524,2588,8202,29573
5,41657,8449,3582,2762,3687,2605,18480
7,30141,13327,4838,2524,2169,5906,22858
1,39656,10909,7855,1920,3500,6100,24184
3,78221,17393,6825,4660,3863,6094,32741
2,41618,17806,5570,3908,2416,8226,29700
9,31934,6941,3498,2242,1309,8983,13990
10,62537,14757,2748,3919,3978,9550,25402
6,43286,9221,6811,1080,1491,8692,18603
10,27612,12524,4386,4620,1759,7598,23289
3,71644,11543,2530,3661,1000,9194,18734
8,52069,11222,6787,1702,3088,8668,22799
8,36205,13580,4209,1540,1671,3001,21000
2,47331,6558,6063,2849,1211,5973,16681
6,75897,19012,5868,3812,2356,9744,31048
7,33934,7121,3108,2274,2965,2413,15468
2,30095,6028,7666,3785,1303,6810,18782
11,45958,19230,2489,3653,1690,8323,27062
10,57008,16726,2004,4486,2781,7928,25997
2,38706,13273,2075,4157,2833,4014,22338
10,63516,10656,7372,1621,1615,3487,21264
1,58066,13967,4728,2240,1522,2782,22457
8,51472,8038,2472,4069,3072,9044,17651
1,54629,17565,5209,3243,1807,2526,27824
9,66910,16079,3381,4042,1024,2000,24526
11,43004,6878,2837,2320,3643,2270,15678
6,79210,7271,2602,3993,2776,4531,16642
7,40431,6607,3186,3091,1107,9099,13991
10,76733,8139,3481,3440,2353,3071,17413
7,60088,5605,5272,2466,1179,2693,14522
10,64135,19354,7860,2113,1880,8118,31207
3,70250,9735,7794,3202,3178,9350,23909
2,58015,16606,2231,4025,2830,4887,25692
9,54502,8665,2327,4549,1602,8516,17143
8,51385,19077,7239,2644,3800,9893,32760
12,24663,10852,2949,1058,3806,8682,18665
10,58677,10462,3886,3157,1167,5578,18672
7,72568,7144,6095,1478,1222,9905,15939
9,32818,9270,4297,3665,1468,8813,18700
4,42686,16957,7455,2922,1277,3995,28611
4,43977,13107,3307,2756,3237,5577,22407
1,69832,6376,2197,2798,3578,8715,14949
8,60931,8462,6511,2617,2549,8209,20139
12,38454,5347,4779,1783,3020,3709,14929
3,33358,5000,7514,4120,2778,8130,19412
7,26668,5062,7033,2400,1620,4099,16115
12,65784,6783,5336,2055,2213,8117,16387
2,60769,17006,7339,2509,1217,2469,28071
2,29921,13417,7335,3648,2334,4290,26734
7,54959,11566,3338,3987,3283,2336,22174
6,52328,6042,3691,4039,1167,9970,14939
3,28859,19366,2215,3578,3827,2755,28986
9,78956,14036,3649,2026,3240,9288,22951
10,43970,15872,7280,1377,3289,4601,27818
6,28872,17311,4862,1571,2185,3719,25929
10,78316,6234,2609,2954,2362,9212,14159
10,39230,6984,4558,4313,3838,4099,19693
6,46708,17448,2917,2564,3502,9318,26431
1,38847,14470,6252,1586,3240,2412,25548
4,75989,6594,2161,4653,2425,5612,15833
10,47105,11257,6137,2618,3439,8712,23451
6,79847,15743,7449,1356,3648,9665,28196
6,24922,6952,7682,1684,2065,9954,18383
11,24392,6695,4811,2946,1092,5280,15544
12,72335,5954,7548,4268,2238,6103,20008
5,33541,8291,5421,3905,3396,4993,21013
1,39551,13548,6215,4490,1512,5462,25765
8,39381,19504,3098,1658,3971,2246,28231
5,67783,16787,4721,2296,1105,9562,24909
12,75673,5968,4708,2525,2255,5778,15456
12,55995,5241,2122,3082,3764,8977,14209
12,42948,16638,4700,4054,2200,9506,27592
5,46728,9234,5253,4696,2702,2411,21885
7,79072,15336,5061,3508,2317,9095,26222
4,22024,13338,5961,3765,3835,7659,26899
6,36713,12349,2788,2693,2875,7464,20705
4,22486,18368,2256,4324,2543,8986,27491
3,21155,10161,6025,2657,2235,5367,21078
7,30082,13734,7956,1511,3870,6330,27071
8,57245,13883,5654,2071,1916,4689,23524
4,38569,6025,7388,4256,2768,2587,20437
2,27086,17242,5251,3538,2076,3468,28107
12,22317,17197,7268,3320,2256,2232,30041
10,56389,8359,5589,2636,3901,8885,20485
3,24491,10257,7267,2012,3730,8001,23266
1,35916,10736,6775,3574,2541,8040,23626
8,35248,12679,7297,2151,1950,9140,24077
3,22511,7951,2607,1209,3091,3886,14858
12,44226,13921,6426,1623,3650,2309,25620
10,45025,12389,5927,2805,2731,2943,23852
7,62314,19666,7326,2165,2539,2907,31696
10,68380,19952,4152,1172,3680,4748,28956
5,27848,17691,2546,2888,1091,4525,24216
10,34274,7555,6888,4749,1758,9681,20950
5,74556,19227,3904,1446,1730,8479,26307
7,74545,6150,7474,4190,1953,3600,19767
9,50958,6735,3682,4786,2461,4099,17664
12,70445,12931,2488,1010,1336,2545,17765
5,55233,6038,3822,1760,2317,4348,13937
1,36304,11369,7622,2327,1699,5823,23017
10,68437,12127,5121,2783,1924,4688,21955
10,31294,7912,5774,2177,3727,5314,19590
1,46425,9840,5072,3370,3311,6451,21593
2,23175,15732,5452,4608,3152,8963,28944
6,60617,17606,2649,1976,3016,6930,25247
9,65241,6242,2647,3492,3271,7729,15652
8,47775,13964,7481,3389,1977,8731,26811
5,29425,15108,2380,3268,1114,9991,21870
1,46013,13098,4066,3157,3938,7561,24259
7,47928,8412,3863,3457,2258,6972,17990
5,64990,7499,4290,4489,2297,8874,18575
6,61212,16632,6224,4673,2978,3841,30507
7,28210,18231,3199,3552,3776,3636,28758
3,22759,12160,6504,2800,1033,7238,22497
12,36091,11110,6887,1039,2411,9576,21447
10,74407,8545,4990,4580,2732,3675,20847
3,77566,6213,3107,2482,3942,7490,15744
5,20002,16123,5447,3310,3509,6832,28389
6,77282,5418,2221,4741,1448,3790,13828
9,70411,16973,3439,4189,3876,5144,28477
12,60958,9960,2617,4521,2237,5520,19335
5,50160,5788,7444,4839,2069,8967,20140
1,40707,6871,4570,4485,1404,3841,17330
4,35248,17782,4755,3755,1332,7590,27624
5,25773,18350,4790,2849,3037,2155,29026
12,32786,19497,5942,1822,3287,8914,30548
10,71720,7025,5309,4597,2277,2933,19208
10,35037,11264,6054,1460,1227,2575,20005
5,21885,7446,7132,2141,3780,3333,20499
7,59828,12429,2224,1216,3938,5107,19807
4,36331,19273,4241,2740,1165,6343,27419
1,60612,9823,6152,3124,1584,3451,20683
5,42495,13752,5696,2444,1736,7163,23628
7,33450,7651,5350,3939,2534,6548,19474
10,29491,18440,5827,2195,1597,7238,28059
10,71490,17096,3403,3437,1592,9516,25528
6,29268,5539,6212,4097,3774,8836,19622
5,72910,11499,2409,2151,2699,7004,18758
4,47757,9755,3916,1373,2413,2939,17457
2,73962,19767,5438,1653,2446,5459,29304
4,61907,10959,6067,1903,1924,3093,20853
10,26791,16328,4859,4095,1648,9090,26930
10,59939,8289,3983,4541,2687,5941,19500
3,48314,15802,4051,1743,1446,4501,23042
10,71883,10546,5701,3470,1096,6362,20813
1,48583,18104,2022,4248,3426,8874,27800
8,70021,15136,4968,1852,3717,3461,25673
5,41550,16337,2744,2770,2703,4413,24554
4,20093,7758,2601,1830,2267,5773,14456
8,55755,10311,5035,2561,1630,9935,19537
7,65615,16452,7065,4337,3755,3210,31609
2,29967,9107,7274,1972,1502,5298,19855
1,36218,19574,3842,4945,1287,2060,29648
12,63220,6895,4674,3676,1368,4215,16613
11,28627,7500,6176,3617,1064,8275,18357
4,24947,19718,4662,2293,1161,6250,27834
8,59419,7829,2482,2352,3644,4831,16307
12,76131,17065,6036,4526,3974,6817,31601
2,43178,5047,4639,2318,3618,6102,15622
3,48876,7364,7526,1121,2817,6618,18828
12,42908,15448,5311,1158,1661,7831,23578
1,55912,10666,6128,4249,1480,2250,22523
1,39971,17864,7368,4727,2656,3599,32615
3,52584,11458,6375,4399,3316,8835,25548
11,69228,13945,5825,4951,2790,7759,27511
5,78159,13177,4199,1306,3783,9429,22465
12,28959,18347,3682,4982,1566,4167,28577
3,75705,12630,7670,2112,1405,8191,23817
1,48261,12931,6796,1750,1764,5140,23241
1,61065,12058,5608,2061,2940,8008,22667
8,59462,7802,7875,2896,1865,3285,20438
10,35835,17841,3018,1590,2117,8885,24566
11,39257,16844,7349,2880,3437,3787,30510
12,23346,13594,6760,4910,3594,3468,28858
12,50807,18418,4970,1345,2235,6033,26968
2,50418,7086,3311,4323,1741,3502,16461
3,76176,11724,3418,4911,3633,3254,23686
2,72300,15419,4500,1148,3921,6319,24988
3,31340,11155,4667,2039,2831,8600,20692
7,78809,16602,7152,2390,1042,6814,27186
1,79931,16182,3386,3882,3927,4900,27377
10,53012,17835,7230,4904,2465,5437,32434
8,55393,6149,3144,1780,2538,7044,13611
10,56617,5062,4063,1117,1910,2027,12152
10,29597,18131,6834,1703,1606,9020,28274
10,45557,8153,3546,3364,2418,9898,17481
2,27737,14200,4145,1287,3285,2900,22917
3,66792,10938,4163,3955,2702,2848,21758
9,64768,15223,5012,2374,1718,2100,24327
7,61101,14514,7590,3344,3789,4105,29237
4,37276,15273,7558,4265,3451,9191,30547
10,74639,5751,6444,3024,1213,6510,16432
5,76403,12776,6327,4463,3893,9394,27459
2,27310,17336,5182,1442,1131,5240,25091
11,55167,13849,5423,4352,3056,9656,26680
8,57408,14852,6001,1900,2766,5317,25519
4,39344,5700,5559,1300,1152,7955,13711
9,30391,14272,3556,3945,3478,9891,25251
5,76477,15348,4686,3473,1482,8506,24989
9,70621,6540,4332,1249,3020,3488,15141
4,30892,8032,3656,2957,1304,3453,15949
10,31197,11167,2544,2766,3331,3801,19808
5,33050,11364,2391,2538,3519,6516,19812
9,56142,6983,7289,1685,3016,6116,18973
8,65679,13506,3988,3799,1992,6731,23285
3,61615,19629,6085,1997,3237,5440,30948
1,67553,16273,2296,1405,2551,6559,22525
3,63728,10796,3086,4687,3559,8240,22128
4,33535,12648,6365,3848,1342,9817,24203
2,61002,12894,5261,1243,1714,3515,21112
1,63271,18305,7194,4871,2709,5921,33079
7,77075,17925,7805,3414,3727,9520,32871
8,25122,7314,6605,4856,2057,9772,20832
7,29852,12959,3116,3167,1470,5166,20712
5,25387,15327,3076,3897,1740,2023,24040
12,51759,19790,2495,4511,1512,8523,28308
1,60399,6649,4995,4842,2138,2395,18624
7,59994,12700,2093,4575,3192,3427,22560
7,57876,16411,6720,2605,1558,8085,27294
9,71376,11900,6324,1432,1791,9815,21447
3,54878,8800,7510,1182,2201,7965,19693
9,53725,7478,2720,2484,2748,5204,15430
1,27146,17259,7075,3806,1359,8197,29499
1,20560,14967,6362,2141,1284,9459,24754
4,78674,15158,7099,1030,3812,3013,27099
9,76565,12054,6376,4024,3631,9279,26085
6,21312,11059,6026,2172,2757,6517,22014
11,38205,14959,6055,3575,3774,6226,28363
3,31595,17007,7057,2296,2383,2419,28743
